"Sample_ID","Cells_Before_QC","Cells_After_QC"
"GSM8561110",6181,406
"GSM8561111",2829,59
"GSM8561112",2485,29
"GSM8561113",6358,1033
"GSM8561114",16270,705
"GSM8561115",3479,7
"GSM8561116",4212,5
"GSM8561117",5172,26
"GSM8561118",6120,367
"GSM8561119",1986,28
"GSM8561120",606,30
"GSM8561121",2819,21
"GSM8561122",5094,14
"GSM8561123",2696,4
"GSM8561124",7699,4
"GSM8561125",688,16
"GSM8561126",2696,4
"GSM8561127",688,16
"GSM8561128",3589,49
"GSM8561129",1228,7
"GSM8561130",3440,126
"GSM8561131",4050,28
"GSM8561132",42204,899
"GSM8561133",5244,95
"GSM8561134",3211,208
"GSM8561135",3455,8
"GSM8561136",4596,128
"GSM8561137",1222,56
"GSM8561138",2723,239
"GSM8561139",2442,131
"GSM8561140",2765,120
"GSM8561141",1375,124
"GSM8561142",1437,127
"GSM8561143",3134,195
"GSM8561144",1024,93
"GSM8561145",1780,127
"GSM8561146",4544,378
"GSM8561147",1860,77
"GSM8561148",4458,235
"GSM8561149",3983,103
